id,evidence_inference_prompt_id,pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,notes,is_data_in_figure_graphics,is_relevant_data_in_table,is_table_in_graphic_format,is_data_complete,tiktoken_with_attributes_xml_token_num,tiktoken_without_attributes_xml_token_num,tiktoken_without_attributes_markdown_token_num,split
239,8054,5534041,composite z-scores in autism spectrum disorder (ASD),right dorsolateral prefrontal cortex (DLPFC) anodal transcranial direct current stimulation (tDCS),sham stimulation,continuous,,12,,12,0.11,0.81,-0.25,0.71,,FALSE,TRUE,FALSE,TRUE,6951,5679,4357,TEST
240,8055,5534041,overall working memory (WM) performance in autism spectrum disorder (ASD),right dorsolateral prefrontal cortex (DLPFC) anodal transcranial direct current stimulation (tDCS),sham stimulation,continuous,,12,,12,6,0.9,4.8,0.9,,FALSE,TRUE,FALSE,TRUE,6951,5679,4357,TEST
241,8053,5534041,overall working memory (WM) performance in autism spectrum disorder (ASD),right dorsolateral prefrontal cortex (DLPFC) anodal transcranial direct current stimulation (tDCS),left dorsolateral prefrontal cortex (DLPFC) anodal transcranial direct current stimulation (tDCS),continuous,,12,,12,6,0.9,6.2,1.8,,FALSE,TRUE,FALSE,TRUE,6951,5679,4357,TEST
242,8056,5534041,overall working memory (WM) performance in autism spectrum disorder (ASD),left dorsolateral prefrontal cortex (DLPFC) anodal transcranial direct current stimulation (tDCS),sham stimulation,continuous,,12,,12,6.2,1.8,4.8,0.9,,FALSE,TRUE,FALSE,TRUE,6951,5679,4357,TEST
243,8057,5534041,composite z-scores in autism spectrum disorder (ASD),left dorsolateral prefrontal cortex (DLPFC) anodal transcranial direct current stimulation (tDCS),sham stimulation,continuous,,12,,12,0.13,0.82,-0.25,0.71,,FALSE,TRUE,FALSE,TRUE,6951,5679,4357,TEST
244,10306,5571493,Glycemic level,Dw 5% with Quinine infusion,Dw 5% without Quinine infusion,continuous,,10,,10,0.82,0.05,0.92,0.07,,FALSE,FALSE,FALSE,TRUE,1507,1019,928,TEST
245,10307,5571493,Glycemic level,Saline + Quinine infusion,Dw 5% + Quinine infusion,continuous,,10,,10,0.74,0.05,0.82,0.05,,FALSE,FALSE,FALSE,TRUE,1507,1019,928,TEST
246,10305,5571493,Glycemic level,Saline + Quinine infusion,Saline without Quinine infusion,continuous,,10,,10,0.74,0.05,0.83,0.05,,FALSE,FALSE,FALSE,TRUE,1507,1019,928,TEST
247,10308,5571493,QT interval,Saline + Quinine infusion,Saline without Quinine infusion,continuous,,10,,10,,,,,No numerical values are given.,FALSE,FALSE,FALSE,FALSE,1507,1019,928,TEST
248,10309,5571493,QT interval,Dw 5%+ Quinine infusion,Dw 5% without Quinine infusion,continuous,,10,,10,,,,,No numerical values are given.,FALSE,FALSE,FALSE,FALSE,1507,1019,928,TEST
249,10310,5571493,Hypoglycemia,Saline + Quinine infusion,Saline without Quinine infusion,continuous,,10,,10,,,,,No numerical values are given.,FALSE,FALSE,FALSE,FALSE,1507,1019,928,TEST
250,12425,5614421,The incidence of respiratory distress syndrome,vaginal progesterone pessaries (equivalent to 100 mg vaginal progesterone),placebo,binary,42,402,41,388,,,,,,FALSE,TRUE,FALSE,TRUE,25930,11480,8549,TEST
251,12426,5614421,severity of any neonatal respiratory disease,vaginal progesterone pessaries (equivalent to 100 mg vaginal progesterone),placebo,binary,8,402,7,388,,,,,,FALSE,TRUE,FALSE,TRUE,25930,11480,8549,TEST
252,12427,5614421,other respiratory morbidities,vaginal progesterone pessaries (equivalent to 100 mg vaginal progesterone),placebo,binary,,402,,388,,,,,Unclear what measurement to use.,FALSE,FALSE,FALSE,FALSE,25930,11480,8549,TEST
253,12427,5614421,"adverse infant outcomes, including serious infant composite outcome",vaginal progesterone pessaries (equivalent to 100 mg vaginal progesterone),placebo,binary,155,406,152,393,,,,,,FALSE,TRUE,FALSE,TRUE,25930,11480,8549,TEST
254,12428,5614421,side effects,vaginal progesterone pessaries (equivalent to 100 mg vaginal progesterone),placebo,binary,134,394,118,382,,,,,,FALSE,TRUE,FALSE,TRUE,25930,11480,8549,TEST
255,10572,5711682,In-stent late lumen loss at 9 months,Genoss drug-eluting stent (DES),Promus Element,continuous,,38,,39,0.11,0.25,0.16,0.43,,FALSE,TRUE,FALSE,TRUE,13148,4660,2966,TEST
256,10573,5711682,myocardial infarction (MI),Genoss drug-eluting stent (DES),Promus Element,binary,0,38,0,39,,,,,,FALSE,TRUE,FALSE,TRUE,13148,4660,2966,TEST
257,10571,5711682,target lesion revascularization (TLR),Genoss drug-eluting stent (DES),Promus Element,binary,1,38,1,39,,,,,,FALSE,TRUE,FALSE,TRUE,13148,4660,2966,TEST
258,10574,5711682,stent thrombosis,Genoss drug-eluting stent (DES),Promus Element,binary,0,38,0,39,,,,,,FALSE,TRUE,FALSE,TRUE,13148,4660,2966,TEST
259,10575,5711682,rates of death,Genoss drug-eluting stent (DES),Promus Element,binary,1,38,0,39,,,,,,FALSE,TRUE,FALSE,TRUE,13148,4660,2966,TEST
260,13181,5771543,CGI-I response rate,fluoxetine,placebo,binary,79,101,62,99,,,,,,FALSE,TRUE,FALSE,TRUE,12534,9831,7366,DEV
261,13182,5771543,CGI-I response rate,desvenlafaxine,placebo,binary,68,99,62,99,,,,,,FALSE,TRUE,FALSE,TRUE,12534,9831,7366,DEV
262,13183,5771543,Treatment-emergent adverse events (TEAEs),desvenlafaxine,placebo,binary,69,115,79,112,,,,,,FALSE,TRUE,FALSE,TRUE,12534,9831,7366,DEV
263,13183,5771543,Treatment-emergent adverse events (TEAEs),fluoxetine,placebo,binary,72,112,79,112,,,,,Typo in the table,FALSE,TRUE,FALSE,TRUE,12534,9831,7366,DEV
264,2786,2430617,HBeAg sero-conversion rate,60 µg of immune complexes (YIC),placebo,binary,17,78,7,78,,,,,effects found in abstract and exact number in results table,FALSE,TRUE,FALSE,TRUE,7987,4896,3773,TEST
265,2787,2430617,adverse events,30 µg YIC,placebo,binary,3,83,4,79,,,,,,FALSE,TRUE,FALSE,TRUE,7987,4896,3773,TEST
266,2787,2430617,adverse events,60 µg of YIC,placebo,binary,4,80,4,79,,,,,effects found in abstract and number of samples in text,FALSE,FALSE,FALSE,TRUE,7987,4896,3773,TEST
267,12440,2596788,GERD-knowledge,education,control,continuous,,102,,109,17.1,,14,,no standard deviations given,TRUE,FALSE,FALSE,FALSE,5143,3554,2520,TEST
268,2991,3214395,laryngoscopy duration,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 45",group 3 involved bispectral index (BIS) of 35,continuous,,60,,30,,,,,mean and std not given for group 1 and 2 combined,FALSE,TRUE,TRUE,FALSE,1201,996,880,TEST
269,2991,3214395,laryngospasm,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 46",group 3 involved bispectral index (BIS) of 36,binary,,60,,30,,,,,,FALSE,TRUE,TRUE,FALSE,1201,996,880,TEST
270,2991,3214395,bronchospasm,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 47",group 3 involved bispectral index (BIS) of 37,binary,,60,,30,,,,,,FALSE,TRUE,TRUE,FALSE,1201,996,880,TEST
271,2991,3214395,laryngoscopy failure,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 48",group 3 involved bispectral index (BIS) of 38,continuous,,60,,30,,,,,mean and std not given for group 1 and 2 combined,FALSE,TRUE,TRUE,FALSE,1201,996,880,TEST
272,2991,3214395,extremity movement,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 49",group 3 involved bispectral index (BIS) of 39,binary,,60,,30,,,,,,FALSE,TRUE,TRUE,FALSE,1201,996,880,TEST
273,2991,3214395,awakening,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 50",group 3 involved bispectral index (BIS) of 40,continuous,,60,,30,,,,,mean and std not given for group 1 and 2 combined,FALSE,TRUE,TRUE,FALSE,1201,996,880,TEST
274,6419,3654355,Body weight,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,-17.5,6.1,-0.5,2.8,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
275,6420,3654355,Fat mass,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,-15.7,5.3,-0.4,5,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
276,6421,3654355,Visceral fat,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,-82.3,31.6,4.3,22.7,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
277,6422,3654355,Baseline Height,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,173.2,8.6,172.3,10.4,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
278,6422,3654355,Baseline body mass index,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,42.8,4.6,42.8,6.3,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
279,6422,3654355,baseline body weight,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,128.9,19.4,127.1,21.6,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
280,6422,3654355,baseline fat mass,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,60.5,11,60.4,13.5,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
281,6422,3654355,baseline fat-free mass,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,68.3,13.2,67.1,12.8,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
282,6422,3654355,baseline skeletal muscle mass,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,38.4,7.9,37.9,7.4,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
283,6422,3654355,baseline visceral fat area,Intensive lifestyle intervention (ILI) group,Waiting list control,continuous,,71,,33,255.7,64.7,245.6,66.3,,FALSE,TRUE,FALSE,TRUE,18948,9604,6664,TEST
284,6301,3929816,Baseline characteristics and general anesthesia procedure,Intraabdominal pressure 20 mm Hg,Intraabdominal pressure 12 mm Hg,continuous,,10,,10,,,,,No quantitative measures given,FALSE,FALSE,FALSE,FALSE,1047,859,749,TEST
285,6302,3929816,Pathologic changes in the liver,Intraabdominal pressure 20 mm Hg,Intraabdominal pressure 12 mm Hg,continuous,,10,,10,,,,,No quantitative measures given,FALSE,FALSE,FALSE,FALSE,1047,859,749,TEST
286,6303,3929816,Pathologic changes in the kidneys,Intraabdominal pressure 20 mm Hg,Intraabdominal pressure 12 mm Hg,continuous,,10,,10,20,,,,Not enough measures given for calculation,FALSE,FALSE,FALSE,FALSE,1047,859,749,TEST
287,6100,4215531,alpha power,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,,,,,"F-values given, not sure how to use them",FALSE,FALSE,FALSE,FALSE,7350,5561,4156,TEST
288,6102,4215531,alpha power,facial affect training (FAT) in 20 daily 1-hour sessions,treatment as usual (TAU),continuous,,19,,19,,,,,"F-values given, not sure how to use them",FALSE,FALSE,FALSE,FALSE,7350,5561,4156,TEST
289,6103,4215531,MCCB performance : Processing Speed,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,44.6,12.2,48.2,12.3,used post values and Treatment as Usual as Baseline,FALSE,TRUE,FALSE,TRUE,7350,5561,4156,TEST
290,6103,4215531,MCCB performance : Attentional Vigilance,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,38.5,11.8,41.3,10.1,used post values and Treatment as Usual as Baseline,FALSE,TRUE,FALSE,TRUE,7350,5561,4156,TEST
291,6103,4215531,MCCB performance : Visual Learning,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,49.4,12.8,46.5,9.8,used post values and Treatment as Usual as Baseline,FALSE,TRUE,FALSE,TRUE,7350,5561,4156,TEST
292,6104,4215531,MCCB performance : Working Memory,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,48.2,9.2,50.8,12.1,used post values and Treatment as Usual as Baseline,FALSE,TRUE,FALSE,TRUE,7351,5561,4156,TEST
293,6104,4215531,MCCB performance : Verbal Learning,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,47.1,10,47.3,10.4,used post values and Treatment as Usual as Baseline,FALSE,TRUE,FALSE,TRUE,7352,5561,4156,TEST
294,6104,4215531,MCCB performance : Reasoning,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,47.9,8.8,46.5,9.8,used post values and Treatment as Usual as Baseline,FALSE,TRUE,FALSE,TRUE,7353,5561,4156,TEST
295,6104,4215531,MCCB performance : Social Cognition,facial affect training (FAT) in 20 daily 1-hour sessions,baseline,continuous,,19,,19,39.3,11.1,42.8,11.7,used post values and Treatment as Usual as Baseline,FALSE,FALSE,FALSE,TRUE,7350,5561,4156,TEST
296,5595,4355974,Days of wheeze,BostonBreathes system,Control,continuous,,28,,14,-1.4,,-4.2,,standard deviations not given and means are mean change,FALSE,TRUE,FALSE,FALSE,7450,5464,3820,TEST
297,5596,4355974,ER visits,BostonBreathes system,Control,binary,1,28,1,14,,,,,found in table,FALSE,TRUE,FALSE,TRUE,7450,5464,3820,TEST
298,5597,4355974,Days limited activity from asthma,BostonBreathes system,Control,continuous,,28,,14,-0.2,,-1.8,,"standard deviations not given, means are mean change",FALSE,TRUE,FALSE,FALSE,7450,5464,3820,TEST
299,5598,4355974,Knowledge,BostonBreathes system,Control,binary,9,12,3,8,,,,,"found in table,",FALSE,TRUE,FALSE,TRUE,7450,5464,3820,TEST
300,5599,4355974,School days missed for asthma,BostonBreathes system,Control,continuous,,28,,14,-0.2,,-0.4,,"standard deviations not given, means are mean change",FALSE,TRUE,FALSE,FALSE,7450,5464,3820,TEST
301,5600,4355974,Days patient had to slow down,BostonBreathes system,Control,continuous,,28,,14,-1.4,,-0.4,,"standard deviations not given, means are mean change",FALSE,TRUE,FALSE,FALSE,7450,5464,3820,TEST
302,3878,4357072,improvement in symptom scores,topical pimecrolimus cream 1%,triamcinolone acetonide oral paste 0.1%,continuous,,15,,15,0.2,0.4,0.8,0.6,significance found in abstract and numbers in results,FALSE,TRUE,TRUE,TRUE,2097,1624,1385,TEST
303,3879,4357072,reduction in burning sensation,topical pimecrolimus cream 1%,triamcinolone acetonide oral paste 0.1%,continuous,,15,,15,1,2.1,5.3,6.1,significance found in abstract and numbers in results,FALSE,TRUE,TRUE,TRUE,2097,1624,1385,TEST
304,3880,4357072,reduction in erythematous area,topical pimecrolimus cream 1%,triamcinolone acetonide oral paste 0.1%,binary,14,15,10,15,,,,,significance found in abstract and numbers in results,FALSE,TRUE,TRUE,TRUE,2097,1624,1385,TEST
305,3882,4357072,reappearance of erythematous areas after 2 months posttreatment,pimecrolimus,triamcinolone acetate,binary,1,15,5,15,,,,,significance found in abstract and numbers in results,FALSE,TRUE,FALSE,TRUE,2097,1624,1385,TEST
306,7831,4541185,duration of sensory block,ropivacaine + diluted clonidine with saline,ropivacaine + saline,continuous,,30,,30,703.83,42.9,556.38,37.96,found in text,FALSE,TRUE,TRUE,TRUE,1359,1043,907,TEST
307,7831,4541185,duration of motor block,ropivacaine + diluted clonidine with saline,ropivacaine + saline,continuous,,30,,30,621.67,46.76,500.86,44.58,found in text,FALSE,TRUE,TRUE,TRUE,1359,1043,907,TEST
308,7832,4541185,duration of analgesia,ropivacaine + diluted clonidine with saline,ropivacaine + saline,continuous,,30,,30,878.33,89.955,613.1,51.797,found in text,FALSE,TRUE,TRUE,TRUE,1359,1043,907,TEST
309,7833,4541185,onset of sensory block,ropivacaine + diluted clonidine with saline,ropivacaine + saline,continuous,,30,,30,4.36,0.81,4.84,0.65,found in abstract,FALSE,FALSE,FALSE,TRUE,1359,1043,907,TEST
310,7833,4541185,onset of motor block,ropivacaine + diluted clonidine with saline,ropivacaine + saline,continuous,,30,,30,9.83,1.12,10.85,0.79,found in abstract,FALSE,FALSE,FALSE,TRUE,1359,1043,907,TEST
311,7834,4541185,drop in heart rate,ropivacaine + diluted clonidine with saline,ropivacaine + saline,continuous,,30,,30,,,,,found in table,FALSE,TRUE,TRUE,FALSE,1359,1043,907,TEST
312,7835,4541185,drop in mean arterial pressure,ropivacaine + diluted clonidine with saline,ropivacaine + saline,continuous,,30,,30,,,,,found in table,FALSE,TRUE,TRUE,FALSE,1359,1043,907,TEST
313,9840,4928400,Stone-free rate,Transperitoneal laparoscopic ureterolithotomy,Flexible ureteroscopy,binary,22,22,16,20,,,,,,FALSE,TRUE,FALSE,TRUE,4037,2288,1670,TEST
314,9841,4928400,Operative time,Transperitoneal laparoscopic ureterolithotomy,Flexible ureteroscopy,continuous,,22,,20,74.1,12.2,78,6.4,found in table,FALSE,TRUE,FALSE,TRUE,4037,2288,1670,TEST
315,9842,4928400,Complication,Transperitoneal laparoscopic ureterolithotomy,Flexible ureteroscopy,binary,5,22,7,20,,,,,,FALSE,TRUE,FALSE,TRUE,4037,2288,1670,TEST
316,9843,4928400,Postoperative pain,Transperitoneal laparoscopic ureterolithotomy,Flexible ureteroscopy,continuous,,22,,20,4.3,1,3.6,1.2,,FALSE,TRUE,FALSE,TRUE,4037,2288,1670,TEST
317,9844,4928400,Hospital stay,Transperitoneal laparoscopic ureterolithotomy,Flexible ureteroscopy,continuous,,22,,20,4.2,1.2,2.1,1.1,,FALSE,TRUE,FALSE,TRUE,4037,2288,1670,TEST
318,9845,4928400,Time for return to daily activities,Transperitoneal laparoscopic ureterolithotomy,Flexible ureteroscopy,continuous,,22,,20,13.3,1.7,9,1.6,,FALSE,TRUE,FALSE,TRUE,4037,2288,1670,TEST
319,4723,5539943,reflections of sustain talk,Language Enhanced Attention and Focus MI training condition (MI-LEAF),MI training (MI-AU),continuous,,,,,,,,,No group sizes and individual means and stds given,FALSE,FALSE,FALSE,FALSE,9850,5076,3578,TEST
320,4724,5539943,"""sustain talk"" (ST)",Language Enhanced Attention and Focus MI training condition (MI-LEAF),baseline,continuous,,,,,,,,,No group sizes and individual means and stds given,FALSE,FALSE,FALSE,FALSE,9850,5076,3578,TEST
321,4725,5539943,"Frequency of client ""change talk"" (CT)",Language Enhanced Attention and Focus MI training condition (MI-LEAF),MI training (MI-AU),continuous,,,,,,,,,No group sizes and individual means and stds given,FALSE,FALSE,FALSE,FALSE,9850,5076,3578,TEST
322,4726,5539943,Motivational Interviewing (MI) knowledge,Language Enhanced Attention and Focus MI training condition (MI-LEAF),baseline,continuous,,,,,,,,,No group sizes and individual means and stds given,FALSE,FALSE,FALSE,FALSE,9850,5076,3578,TEST
323,4726,5539943,Motivational Interviewing (MI) knowledge,MI training (MI-AU),baseline,continuous,,,,,,,,,No group sizes and individual means and stds given,FALSE,FALSE,FALSE,FALSE,9850,5076,3578,TEST
324,4727,5539943,Motivational Interviewing (MI) knowledge,Language Enhanced Attention and Focus MI training condition (MI-LEAF),MI training (MI-AU),continuous,,,,,,,,,No group sizes and individual means and stds given,FALSE,FALSE,FALSE,FALSE,9850,5076,3578,TEST
325,5372,5559992,Anxiety,Buprenophine 32 mg,No treatment,continuous,,5,,5,,,,,"decided ""no treatment"" meant baseline",FALSE,TRUE,TRUE,FALSE,1146,884,721,TEST
326,5373,5559992,Anxiety,Buprenophine 64 mg,No treatment,continuous,,4,,4,,,,,"decided ""no treatment"" meant baseline",FALSE,TRUE,TRUE,FALSE,1146,884,721,TEST
327,5374,5559992,Anxiety,Buprenophine 96 mg,No treatment,continuous,,5,,5,,,,,"decided ""no treatment"" meant baseline",FALSE,TRUE,TRUE,FALSE,1146,884,721,TEST
328,5375,5559992,Anxiety,Buprenophine 32 mg,Buprenophine 64 mg,continuous,,5,,4,,,,,found in table,FALSE,TRUE,TRUE,FALSE,1146,884,721,TEST
329,5376,5559992,Anxiety,Buprenophine 32 mg,Buprenophine 96 mg,continuous,,5,,5,,,,,found in table,FALSE,TRUE,TRUE,FALSE,1146,884,721,TEST
330,5377,5559992,Anxiety,Buprenophine 64 mg,Buprenophine 96 mg,continuous,,4,,5,,,,,found in table,FALSE,TRUE,TRUE,FALSE,1146,884,721,TEST
331,5078,5617873,Parent-rated Aberrant Behavior Checklis improvement,Aripiprazole,Placbeo,continuous,,45,,47,-11.4,1.3,-7.5,1.4,"all means and std found in table 2, given as mean change from baseline",FALSE,TRUE,FALSE,TRUE,7551,5383,4396,TEST
332,5079,5617873,Clinician-rated Clinical Global Impression-Improvement scores,Aripiprazole,Placbeo,continuous,,47,,45,2.4,0.1,3.4,0.1,raw values foun din text,FALSE,FALSE,FALSE,TRUE,7551,5383,4396,TEST
333,5080,5617873,Serious adverse effects,Aripiprazole,Placbeo,binary,0,47,1,45,,,,,all means and std found in table 2,FALSE,TRUE,FALSE,TRUE,7551,5383,4396,TEST
334,5081,5617873,Inappropriate speech,Aripiprazole,Placbeo,continuous,,45,,47,-2.2,0.4,-1.5,0.4,"table 2, given as mean change",FALSE,TRUE,FALSE,TRUE,7551,5383,4396,TEST
335,5082,5617873,Social withdrawal,Aripiprazole,Placbeo,continuous,,45,,47,-4.7,1.1,-5.2,1,"table 2, given as mean change",FALSE,TRUE,FALSE,TRUE,7551,5383,4396,TEST
336,5083,5617873,Compulsion scale,Aripiprazole,Placbeo,continuous,,45,,47,-1.3,0.5,-2,0.5,"table 2, given as mean change",FALSE,TRUE,FALSE,TRUE,7551,5383,4396,TEST
337,11078,5655920,Nausea,Lixisenatide with normal renal function,Lixisenatide with mild impairment,binary,,2094,,637,,,,,placebo-adjusted meta-analysis (fixed effect) = -0.1,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
338,11078,5655920,vomiting,Lixisenatide with normal renal function,Lixisenatide with mild impairment,binary,,2094,,637,,,,,placebo-adjusted meta-analysis (fixed effect) = -0.1,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
339,11079,5655920,Nausea,Lixisenatide with moderate impairment,Lixisenatide with mild impairment,binary,,122,,637,,,,,placebo-adjusted meta-analysis (fixed effect) = 0.04,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
340,11079,5655920,vomiting,Lixisenatide with moderate impairment,Lixisenatide with mild impairment,binary,,122,,637,,,,,placebo-adjusted meta-analysis (fixed effect) = 0.04,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
341,11080,5655920,Nausea,Lixisenatide with moderate impairment,Lixisenatide with normal renal function,binary,,122,,2094,,,,,placebo-adjusted meta-analysis (fixed effect) = -0.03,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
342,11080,5655920,vomiting,Lixisenatide with moderate impairment,Lixisenatide with normal renal function,binary,,122,,2094,,,,,placebo-adjusted meta-analysis (fixed effect) = -0.03,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
343,11081,5655920,Hypoglycaemia,Lixisenatide with normal renal function,Lixisenatide with mild impairment,binary,,2094,,637,,,,,placebo-adjusted meta-analysis (fixed effect) = -0.02,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
344,11082,5655920,Hypoglycaemia,Lixisenatide with moderate impairment,Lixisenatide with mild impairment,binary,,122,,637,,,,,placebo-adjusted meta-analysis (fixed effect) = 0.04,FALSE,TRUE,FALSE,FALSE,13081,5825,4026,TEST
345,10232,5686687,Pain,Resveratrol,Placebo,continuous,,22,,22,2.3,2.63,3.9,3.35,Back calculated the SD values from CI.,FALSE,TRUE,FALSE,TRUE,7451,3515,2366,TEST
346,10233,5686687,Need for dipyrone,Resveratrol,Placebo,continuous,,22,,22,1944,1793,625,250,found in table,FALSE,TRUE,FALSE,TRUE,7451,3515,2366,TEST
347,10234,5686687,Need for Ibuprofen,Resveratrol,Placebo,continuous,,22,,22,1200,848,5640,328,found in table,FALSE,TRUE,FALSE,TRUE,7451,3515,2366,TEST
348,10235,5686687,Prolactin levels,Resveratrol,Placebo,continuous,,22,,22,,,,,median and ranges given,FALSE,TRUE,FALSE,FALSE,7451,3515,2366,TEST
349,10236,5686687,CA-125 levels,Resveratrol,Placebo,continuous,,22,,22,,,,,median and ranges given,FALSE,TRUE,FALSE,FALSE,7451,3515,2366,TEST
350,4493,5874317,Knee extension (1-rep Max),Bilateral training,Unilateral training,continuous,,9,,9,237.2,51,182.4,8.4,Found in table raw values,FALSE,TRUE,FALSE,TRUE,10785,5696,4631,TEST
351,4494,5874317,Knee flexion (1-rep Max),Bilateral training,Unilateral training,continuous,,9,,9,99.8,10.2,86.8,2.9,Found in table raw values,FALSE,TRUE,FALSE,TRUE,10785,5696,4631,TEST
352,4495,5874317,Change of direction improvement,Bilateral training,Unilateral training,continuous,,9,,9,5.46,0.2,5.67,0.16,Found in table raw values,FALSE,TRUE,FALSE,TRUE,10785,5696,4631,TEST
353,4496,5874317,Squat jump,Bilateral training,Unilateral training,continuous,,9,,9,0.37,0.04,0.34,0.04,Found in table raw values,FALSE,TRUE,FALSE,TRUE,10785,5696,4631,TEST
354,4497,5874317,Horizontal countermovement jump,Bilateral training,Unilateral training,continuous,,9,,9,2.34,0.07,2.21,0.15,Found in table raw values,FALSE,TRUE,FALSE,TRUE,10785,5696,4631,TEST
355,4498,5874317,Horizontal triple jump (non-dominant leg),Bilateral training,Unilateral training,continuous,,9,,9,5.71,0.71,5.7,0.45,Found in table raw values,FALSE,TRUE,FALSE,TRUE,10785,5696,4631,TEST
356,4710,5884950,objective-SCORAD score,extensively hydrolyzed whey-based formula with short-chain galacto-oligosaccharides/long-chain fructo-oligosaccharides (9:1) and Bifidobacterium breve M-16V (active).,extensively hydrolyzed whey-based formula without (control) short-chain galacto-oligosaccharides/long-chain fructo-oligosaccharides (9:1) and Bifidobacterium breve M-16V (active).,continuous,,13,,13,,,,,"mean and std not given, only median and interquartile range",FALSE,FALSE,FALSE,FALSE,11712,6635,5281,TEST
357,4711,5884950,chemokines CXCL9,extensively hydrolyzed whey-based formula with short-chain galacto-oligosaccharides/long-chain fructo-oligosaccharides (9:1) and Bifidobacterium breve M-16V (active).,extensively hydrolyzed whey-based formula without (control) short-chain galacto-oligosaccharides/long-chain fructo-oligosaccharides (9:1) and Bifidobacterium breve M-16V (active).,continuous,,13,,13,,,,,"mean and std not given, only median and interquartile range",FALSE,FALSE,FALSE,FALSE,11712,6635,5281,TEST
358,8710,5971365,clinically meaningful improvement at week 144 (⩾3-point increase on the SDMT),daclizumab beta,intramuscular (IM) interferon (IFN) beta-1a,binary,188,287,144,277,,,,,"counts calculated from percentages given in text, totals found in figure",FALSE,FALSE,FALSE,TRUE,3177,2394,2130,TEST
359,8711,5971365,Symbol Digit Modalities Test (SDMT) score at week 96,daclizumab beta,intramuscular (IM) interferon (IFN) beta-1a,continuous,,720,,682,4.1,12.4,2.9,12.7,"found in figure and text, totals found in figure",TRUE,FALSE,FALSE,TRUE,3177,2394,2130,TEST
360,8712,5971365,Symbol Digit Modalities Test (SDMT) score at week 144 in limited patients,daclizumab beta,intramuscular (IM) interferon (IFN) beta-1a,continuous,,287,,277,6.3,12.6,3.1,13.2,"found in figure and text, totals found in figure",FALSE,FALSE,FALSE,TRUE,3177,2394,2130,TEST
361,8713,5971365,clinically meaningful worsening at week 96 (⩾3-point decrease on the SDMT),daclizumab beta,intramuscular (IM) interferon (IFN) beta-1a,binary,140,720,169,682,,,,,"counts calculated from percentages given in text, totals found in figure",TRUE,FALSE,FALSE,TRUE,3177,2394,2130,TEST
362,8714,5971365,clinically meaningful improvement at week 96 (⩾3-point increase on the SDMT),daclizumab beta,intramuscular (IM) interferon (IFN) beta-1a,binary,432,720,369,682,,,,,"counts calculated from percentages given in text, totals found in figure",TRUE,FALSE,FALSE,TRUE,3177,2394,2130,TEST
